model,n,r2,aic,bic
demand_only_lpm,12236,0.5326041357056339,-3873.883858948153,-3740.4653802532794
serviceability_only_lpm,12236,0.5280423275156346,-3755.038883892201,-3621.6204051973264
morphology_only_lpm,12236,0.40911610636063,-1005.23971597138,-871.8212372765058
demand_serviceability_lpm,12236,0.5409299323744696,-4091.810328125379,-3950.9797117252338
demand_morphology_lpm,12236,0.5326044912535255,-3871.89316687316,-3731.062550473015
serviceability_morphology_lpm,12236,0.5293730722916655,-3787.5885760780657,-3646.757959677921
full_index_lpm,12236,0.542837732954748,-4140.766577438975,-3992.52382333356
full_blocks_lpm,12236,0.5453031054809167,-4200.931119083012,-4030.451951861784
