term,n_models,same_positive_share,same_negative_share,min_estimate,max_estimate
distance_to_center_km,21,0.0,1.0,-0.0127336686859281,-0.0015601299013972
log_human_medical,21,1.0,0.0,0.1462532695341397,0.1836639782001602
log_nonmedical_pet,21,1.0,0.0,0.085003233954444,0.1127313298605158
log_parking,21,1.0,0.0,0.0628086333871104,0.0782998748223239
log_price,21,0.0,1.0,-0.0268425410911321,-0.0133532562461849
subway_nearest_km,21,0.9523809523809524,0.0476190476190476,-0.0005193227340494,0.0044974948413391
