sample,model,term,coef,p_value,n,r2,base_matched_rate,population_weighted_matched_rate
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_human_medical,0.2378394033052166,9.59289666370729e-41,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_nonmedical_pet,0.0449725437055958,2.7581285061385896e-08,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_child_oriented,0.0525644851575384,0.0016380345771698,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_life_service,0.058320888896816,0.0270637020702486,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_shopping,-0.079145884396275,2.086987216591984e-05,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_parking,0.0657759576126287,8.321946476973994e-05,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_road_density,0.0139360376019698,0.5808039680215598,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_intersection_density,-0.0079225431088049,0.7497536380198352,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_distance_center,0.0376731790480471,0.0078302584675309,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,base_serviceability_lpm,z_housing_price,-0.0307036291036152,0.0106482712220255,2447,0.438669137077447,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_human_medical,0.2517080369927812,4.3118239050361234e-43,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_nonmedical_pet,0.0422310081805677,1.8609847687086298e-07,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_child_oriented,0.068534269271394,4.758717509763587e-05,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_life_service,0.0407677322810811,0.1281992432774315,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_shopping,-0.077529267925746,3.080247526759089e-05,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_parking,0.0677341641651444,9.721831865979048e-05,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
2024_highest_household_pet_care_signal_quintile,district_fixed_lpm,z_road_density,-0.0044582509690515,0.868194326052053,2447,0.4508950854562629,0.4626072742133224,0.6514966267257014
