year,pet_to_childcare_core_exposure_ratio,pet_to_child_oriented_exposure_ratio,pet_to_human_medical_exposure_ratio
2018,0.2011654181262774,0.0265589517820045,0.0361044499846419
2019,0.258073079815918,0.0382403858558655,0.0385263146657044
2020,0.2813442344184677,0.0348618831920435,0.0413999150435682
2021,0.3016458300724505,0.0381090157560248,0.0390674669621637
2022,0.297771346372929,0.0402538042941706,0.0394698274262916
2023,0.3398859117130884,0.0530102989744361,0.045672490112926
2024,0.3466088138956205,0.0507649364117922,0.0408702236088558
