variant,components,spearman_with_main_2024,population_overlap_with_main_top20,high_demand_population,high_demand_population_share_total,latent_gap_population,latent_gap_population_share_total,latent_gap_share_within_high_demand,matched_population,matched_share_within_high_demand,pw_pet_healthcare_1km_high_demand,high_demand_cells,entry_top20_cell_rate,entry_bottom20_cell_rate,entry_top_minus_bottom_cell_rate,entry_top20_pw_rate,entry_bottom20_pw_rate,entry_top_minus_bottom_pw_rate,platform_top20_cell_rate,platform_bottom20_cell_rate,platform_top_minus_bottom_cell_rate,platform_top20_pw_rate,platform_bottom20_pw_rate,platform_top_minus_bottom_pw_rate,platform_rated_top_minus_bottom_cell_rate,entry_lpm_coef,entry_lpm_p,platform_lpm_coef,platform_lpm_p
full_household_pet_care,residential_signal; pet_trace_signal; family_care_signal,1.0,1.0,17655836.827917397,0.7974033614987921,6156514.104127884,0.2780511107796282,0.3486956842732714,11499322.723789511,0.6513043157267285,2.380867808300704,2448,0.0331495884618288,0.0,0.0331495884618288,0.054967024269611,0.0,0.054967024269611,0.421629347308242,0.0007490126651232,0.4208803346431188,0.6106161588880799,8.661958350161159e-05,0.6105295393045782,0.2143195494543973,0.0180249810052348,9.664857947191904e-27,0.2404256483704029,0.0
all_seven_equal_weighted,z_population; z_residential_poi; z_housing_price; z_housing_transactions; z_nonmedical_pet_ecology; z_dog_management_proxy; z_family_child_services,0.9843839485479124,0.977524006554159,17736728.713625252,0.8010567403904358,6255785.120054245,0.2825345596566541,0.3527023061049914,11480943.593571007,0.6472976938950086,2.368247937774052,2448,0.032847542097712,0.0,0.032847542097712,0.0538950321864044,0.0,0.0538950321864044,0.4175457700946028,0.0007490126651232,0.4167967574294796,0.6068783540067163,9.042902822902312e-05,0.6067879249784873,0.2120055223666685,0.0166305594223673,3.483924807374222e-21,0.253271667014422,0.0
drop_residential_layer,pet_trace_signal; family_care_signal,0.8890248268810829,0.9872645866967564,17252574.543275177,0.7791905345184853,5773692.169766426,0.2607614461610351,0.3346568452890374,11478882.373508751,0.6653431547109626,2.4359373390366743,2448,0.0326965189156535,0.0004533434076312,0.0322431755080222,0.0575239597207812,0.0032007200925482,0.054323239628233,0.4188389028789219,0.0010894729674519,0.4177494299114699,0.6223091403503799,0.0081835920481771,0.6141255483022028,0.2124138152075555,0.0136825335332298,2.8607960951858462e-24,0.2177202956339697,0.0
drop_pet_trace_layer,residential_signal; family_care_signal,0.9955453153980292,0.9778518736419906,17779453.67088729,0.802986358616561,6258094.932937622,0.2826388794108289,0.3519846587403779,11521358.73794967,0.6480153412596221,2.365956440899875,2448,0.0330740768707996,0.0,0.0330740768707996,0.0550763171371431,0.0,0.0550763171371431,0.4219015857891513,0.0007490126651232,0.4211525731240281,0.6073929249524185,8.674974531825415e-05,0.6073061752071002,0.214455668694852,0.0156361532429502,7.513394862934144e-28,0.2317577811062341,0.0
drop_family_child_layer,residential_signal; pet_trace_signal,0.9527649803744744,0.968636581228001,17399278.921572983,0.7858162507358151,6030032.208441734,0.2723387172084891,0.346567937419822,11369246.713131247,0.6534320625801779,2.4011758259219445,2448,0.0317148682322736,0.0,0.0317148682322736,0.053885656964268,0.0,0.053885656964268,0.4048186211120942,0.0007490126651232,0.404069608446971,0.6109647163864723,9.18240351121972e-05,0.6108728923513601,0.2047912026225727,0.0124578802156126,2.4156835616529748e-15,0.2353966888160826,0.0
residential_only,residential_signal,0.9469613228659776,0.9536553998308128,17743026.28974086,0.8013411623871287,6331940.9039411545,0.2859740385474522,0.3568692736256794,11411085.385799706,0.6431307263743206,2.360986612139531,2448,0.0314128218681567,0.0001511144692104,0.0312617073989463,0.0533293097587859,0.0203627068643064,0.0329666028944794,0.4090383175661879,0.0007490126651232,0.4082893049010647,0.6033002359507729,9.18005613186856e-05,0.6032084353894542,0.2079900047732567,0.0089195531810328,6.540911085091299e-11,0.2510419512033792,0.0
pet_trace_only,pet_trace_signal,0.5617271397643084,0.9821780290674682,13488288.45919788,0.6091813524931876,3636658.821390033,0.1642450594137431,0.2696160326338615,9851629.637807846,0.7303839673661385,2.8366137481947225,2448,0.0181982934380427,0.0028711749149981,0.0153271185230446,0.0736343201968439,0.0131968544935198,0.0604374657033241,0.3221942421561288,0.0115075582187116,0.3106866839374171,0.6902477807555011,0.0913389802846839,0.5989088004708172,0.1564661148409095,0.0071511325844521,1.4432868673524837e-10,0.1675219541655608,0.0
family_child_only,family_care_signal,0.8737693030142878,0.977209062266398,17339303.420912534,0.7831075337092397,5855074.548975438,0.2644369775663449,0.3376764571703479,11484228.871937096,0.6623235428296521,2.423846174890895,2448,0.0326210073246243,0.0005289006422364,0.0320921066823878,0.0579172065249454,0.0036257494241857,0.0542914571007596,0.4200639760430136,0.0010894729674519,0.4189745030755616,0.6219435832749809,0.0079881683144923,0.6139554149604886,0.2136388883716473,0.0104291641019299,7.072412245044122e-27,0.1958655060838381,0.0
