threshold,high_cut_rank_percentile,high_demand_population,high_demand_population_share_total,latent_gap_population,latent_gap_population_share_total,latent_gap_share_within_high_demand,matched_population,matched_share_within_high_demand,pw_pet_healthcare_1km_high_demand,high_demand_cells,entry_top_cell_rate,entry_bottom_cell_rate,entry_top_minus_bottom_cell_rate,entry_top_pw_rate,entry_bottom_pw_rate,entry_top_minus_bottom_pw_rate,platform_top_cell_rate,platform_bottom_cell_rate,platform_top_minus_bottom_cell_rate,platform_top_pw_rate,platform_bottom_pw_rate,platform_top_minus_bottom_pw_rate
top_10pct,0.9,13258905.845859528,0.59882157919396,2916243.6976013184,0.1317084287809004,0.2199460295973064,10342662.14825821,0.7800539704026936,3.0092770598514957,1224,0.0541968599033816,0.0,0.0541968599033816,0.0713240987965973,0.0,0.0713240987965973,0.6585930058511362,0.0014982293652955,0.6570947764858407,0.7367343652930717,0.0006199397278044,0.7361144255652672
top_20pct,0.8,17655836.827917397,0.7974033614987921,6156514.104127884,0.2780511107796282,0.3486956842732714,11499322.723789511,0.6513043157267285,2.380867808300704,2448,0.0331495884618288,0.0,0.0331495884618288,0.054967024269611,0.0,0.054967024269611,0.421629347308242,0.0007490126651232,0.4208803346431188,0.6106161588880799,8.661958350161159e-05,0.6105295393045782
top_30pct,0.7,19607362.53068429,0.8855415319296054,8017754.771328449,0.3621116726804514,0.4089155162394313,11589607.759355845,0.5910844837605688,2.150488216707918,3671,0.0246198771523512,5.036261079774375e-05,0.0245695145415534,0.0494058342494783,3.3546407231716204e-05,0.0493722878422466,0.2914057536981577,0.0007262164124909,0.2906795372856668,0.5533542409536907,0.0005594918143956,0.552794749139295
top_40pct,0.6,20617828.927359,0.9311779585257062,8997722.304046705,0.4063706569679375,0.4364049355413509,11620106.623312294,0.563595064458649,2.0468327769864145,4895,0.0192590914240398,0.000113314447592,0.0191457769764478,0.0458175405624787,0.0004828001800793,0.0453347403823993,0.221114249736242,0.0007488851822854,0.2203653645539565,0.525850389549603,0.0008778518307356,0.5249725377188673
