entry_outcome,household_signal_gap_over_base,household_signal_q5_lift_over_base,pet_trace_gap_over_base,pet_trace_lpm_coef,pet_trace_lpm_p,pet_trace_mobility_strict_lpm_coef,pet_trace_mobility_strict_lpm_p,residual_pet_trace_coef,residual_pet_trace_p,residual_pet_trace_mobility_strict_coef,residual_pet_trace_mobility_strict_p,delta_full_minus_general_auc,delta_full_minus_general_average_precision
pet_medical,4.095025523864927,4.095025523864927,1.8936530427292253,0.0127594005497283,8.02455040996098e-08,0.0126507380248877,1.2786495986301108e-07,0.0127594005497283,8.024550409960598e-08,0.0126507380248876,1.278649598630425e-07,0.0028707412671749,-0.0004699213891412
human_medical_placebo,2.419509988444048,2.625188283900215,0.3037390469593789,0.0170346331963538,0.225941205286803,0.0161680762879976,0.2508819032271361,0.0170346331963544,0.2259412052867873,0.0161680762879979,0.2508819032271282,0.0014705269555896,0.005970681141319
shopping_placebo,1.7998709940131066,2.185623294452897,0.2338912464669895,0.0447151359807598,0.4658340212078731,0.0503642436536233,0.4119869356311045,0.0447151359807584,0.4658340212078896,0.0503642436536254,0.4119869356310868,0.0026652760878382,0.0081186654302902
life_service_placebo,2.010181289956648,2.330890358916223,-0.0012739802577359,0.0154011852484138,0.6570809024269263,0.0168967364441629,0.6255626476977754,0.0154011852484199,0.6570809024267986,0.0168967364441745,0.6255626476975366,0.0010419426265736,0.0011670068535985
parking_placebo,2.1156548666438133,2.4373382408269197,-0.0401154826560738,0.0056730443204464,0.6698658829780335,0.0073901234400335,0.5783352057749294,0.0056730443204473,0.6698658829779838,0.0073901234400334,0.5783352057749374,0.0011474407086036,0.0007177705116074
bus_placebo,1.1314161514437755,1.7127101527043738,0.2979712884589773,0.0163190438091433,0.379796044150242,0.0146788723687013,0.430014465794259,0.0163190438091448,0.3797960441501985,0.0146788723687029,0.430014465794208,-0.0011279681067642,-0.00181773115377
subway_placebo,4.32193734214369,4.336200073225683,2.0468646525191976,0.022985162541987,6.255845561934073e-13,0.0214051722537241,1.9490398638295357e-11,0.022985162541987,6.255845561934641e-13,0.021405172253724,1.9490398638296048e-11,0.0002429013868332,-0.006674868834936
