serviceability_mismatch_type,cells,population,population_share,mean_demand_signal,mean_morphology,mean_serviceability,mean_pet_medical_1km,pw_pet_medical_1km
A_high_demand_high_morphology_matched,1070,11328630.650260923,0.5116431608278438,2.327450949263006,2.1235321221054884,2.57797634762501,3.216822429906542,3.685729000129661
B_high_demand_high_morphology_latent_gap,965,5383261.104894638,0.2431281248635681,1.2401241337397606,1.6058567810473274,1.438826306618259,0.0,0.0
C_high_demand_lower_morphology_latent_gap,351,734684.3523635864,0.0331810821500659,0.6574509179811298,0.4846942356388795,0.898008343421258,0.0,0.0
D_high_demand_lower_morphology_matched_exception,61,166969.65623122454,0.0075409716596696,0.790921417204157,0.5174576594920534,1.3202030855914155,1.5901639344262295,1.666342266953268
E_lower_demand_supply_present,108,142887.72649264336,0.0064533420042709,0.1004357641542079,0.4386301895374598,0.4613732258572403,1.287037037037037,1.3406163053295874
F_lower_demand_no_supply,9681,4385229.914249846,0.1980533184945816,-0.1986110291979471,-0.1314257378993851,-0.2249512120890177,0.0,0.0
