year,medical_points,population,pw_access_500m,pw_access_1km,pw_access_2km,pw_human_medical_1km,pw_shopping_1km,median_nearest_m,gini_access_1km,share_pop_no_1km,share_pop_no_2km
2018,868.0,22071648.511851795,0.4010916585739691,1.46534593203491,5.141687744342253,40.58629705363846,349.7860316056463,5098.127233016422,0.6883462225146193,0.5072002493006731,0.2708406357235103
2019,822.0,22152555.74671989,0.372859494584596,1.3900157579456154,4.873974877644589,36.079645042794304,282.22783608064793,5610.347530695041,0.6829122796303131,0.5093261969245318,0.2773516792159888
2020,1029.0,22212255.839361835,0.4632748239283821,1.6964282383032432,5.921801861136654,40.976611582849046,321.1234605145774,5012.488298777484,0.6791700199150934,0.4847253869364905,0.2499430585363458
2021,1075.0,22233138.753551397,0.4945766553184418,1.7996677085608497,6.238875071121816,46.06563589863149,334.77647195255696,5044.257648869905,0.679253828462496,0.4765393817537336,0.2480290049653898
2022,1071.0,22222559.89617257,0.4811334006613989,1.7809222968443297,6.184350149094988,45.12110675351021,266.0526875814963,5202.805951765169,0.6796603355463826,0.4790910968758804,0.2513538733867985
2023,1102.0,22193915.532054044,0.4874359922208367,1.8171337793127684,6.360753973215113,39.786177079898046,269.73377119491977,5289.8148854665305,0.6793297087213989,0.4748802073576661,0.2486568036104811
2024,1160.0,22141663.404492863,0.5243446407909097,1.9069953309063865,6.667889955197545,46.65977238483166,257.82225299334937,5201.332892860994,0.6813396607650017,0.4743625255082156,0.2495274674337126
