sample,morphology_quintile,cells,population,population_weighted_matched_supply_rate,latent_high_demand_no_supply_population,latent_share_within_quintile_population,pw_pet_medical_1km,mean_morphology_composite,mean_serviceability
high_demand_Q5_only,M2,2,935.7059631347656,0.0,935.7059631347656,1.0,0.0,-0.3486173901923545,0.0369907560643367
high_demand_Q5_only,M3,47,72976.53131103516,0.1091535955000864,65010.88053131104,0.8908464044999136,0.1091535955000864,0.024920008442725,0.8060021013355605
high_demand_Q5_only,M4,363,827741.771320641,0.1920937313551466,668737.7658691406,0.8079062686448534,0.3265063502423282,0.5543211799499685,0.985612221727377
high_demand_Q5_only,M5_high,2035,16711891.755155563,0.6778784123446755,5383261.104894638,0.3221215876553245,2.498476122940623,1.8780497122179574,2.037789718842939
